TELE2 CALL gb:10, min:250, sms:50, mezhg=0, price:300
Beeline CAR gb:12, min:260, sms:55, mezhg=0, price:290
Tele2 CHAIR gb:15, min:250, sms:30, mezhg=0, price:490
Yota CONSIDER gb:10, min:200, sms:0, mezhg=0, price:190
Yota CONTINUE gb:10, min:300, sms:0, mezhg=0, price:200
Tele2 COST gb:15, min:200, sms:0, mezhg=0, price:220
Tele2 COUNT gb:15, min:300, sms:0, mezhg=0, price:240
TELE2 DEEP gb:10, min:250, sms:50, mezhg=0, price:300
Tele2 DIFFICULT gb:15, min:300, sms:50, mezhg=0, price:460
Tele2 DISCUSS gb:15, min:250, sms:50, mezhg=0, price:490
Yota FOURTEEN gb:10, min:200, sms:50, mezhg=0, price:190
Yota FREE gb:10, min:300, sms:50, mezhg=0, price:200
Tele2 FULL gb:15, min:200, sms:50, mezhg=0, price:220
Tele2 FUN gb:15, min:300, sms:50, mezhg=0, price:240
Tele2 INTER gb:15, min:300, sms:0, mezhg=0, price:240
